"","Random","MuTrack","LinUCB","LinThomp","GPUCB","GPThomp"
"1",679.569776105283,679.966846464671,680.27445378723,675.938904098014,677.383804498655,678.309644430249
"2",679.569776105283,680.564542333336,562.806530672975,535.500332907305,520.72919348123,575.515047035283
"3",679.569776105283,679.345599899992,681.395948873712,681.522689345592,681.458016839208,681.237995749738
"4",679.569776105283,646.236824105247,621.127128939981,567.968375573483,554.283181965507,621.931109866723
"5",679.569776105283,665.74441081779,279.157421013857,370.948114604088,254.748510831601,357.234236351243
"6",679.569776105283,649.102503993627,603.26173704505,557.085843752417,545.568745269719,534.047684606455
"7",679.569776105283,676.618714078508,680.394060096154,679.296269136361,679.77935788495,679.056830728052
"8",679.569776105283,657.458561646997,347.089649152713,334.710900086451,319.872993204762,433.721064265378
"9",679.569776105283,681.388988910758,607.974049400053,603.563920968724,599.115205873838,608.658012560369
"10",679.569776105283,675.317596373317,326.812497697308,213.731047133074,220.825072787564,466.82748446526
"11",679.569776105283,678.687493787229,680.727119499664,674.189089053923,672.859702579631,676.315287278809
"12",679.569776105283,661.358149201769,679.352834765933,670.709058660753,680.538197631151,673.753850518695
"13",679.569776105283,678.385225179957,646.162480822337,599.144824779321,607.053532842292,667.600659276717
"14",679.569776105283,670.110731374183,676.053448493217,675.615967889972,676.45752974891,677.515401893296
"15",679.569776105283,676.721922972277,631.954501313874,630.424087135792,631.840274822004,670.7028284627
"16",679.569776105283,672.354646941326,326.114255731157,235.14509969554,260.622570551821,322.05657158836
"17",679.569776105283,679.769203591543,659.200151365052,641.743285169549,647.959821014156,642.717150289359
"18",679.569776105283,673.649318050956,651.430215818665,632.844117259452,636.914406732193,653.248827019927
"19",679.569776105283,680.913429109443,572.136943341417,558.08972747313,572.374937189588,578.383941440062
"20",679.569776105283,681.399815965708,560.901863481456,443.195369913995,340.299766718794,675.808754299176
"21",679.569776105283,678.507524271019,679.440283678219,681.088784927458,681.305824807631,680.368771478624
"22",679.569776105283,681.568736388299,296.610680090154,253.148827724485,264.417221259486,422.352032586431
"23",679.569776105283,669.288664568656,592.587198414444,585.617003811965,585.982618146619,649.926228331778
"24",679.569776105283,672.576927073787,666.279805094648,671.8507703293,670.443460278161,665.008971871608
"25",679.569776105283,681.395984499683,517.456183805973,514.609348704236,511.13474186815,517.26546848799
"26",679.569776105283,679.993671833218,600.960199632882,586.677317982393,594.516535606273,619.379969503403
"27",679.569776105283,681.398790303244,588.135496180753,572.329757768812,572.060015107401,562.949533591015
"28",679.569776105283,681.566453040499,674.795937088034,674.505422958043,672.147179932275,680.190799110823
"29",679.569776105283,668.422266895398,555.102332508163,515.804023241554,464.722467321986,570.730641825954
"30",679.569776105283,676.976466725939,681.390130632317,681.458114465447,681.561423072077,680.672111239435
"31",679.569776105283,666.584453112721,377.853418685781,358.412407664662,354.498260509901,434.181745996382
"32",679.569776105283,668.461638722547,491.084603018167,426.748240098451,469.457903160725,634.29116022492
"33",679.569776105283,669.36464662313,611.149080223398,576.581744502538,554.758909588274,609.401984203255
"34",679.569776105283,663.818663394009,402.513785702371,433.71253098726,401.099450603657,462.592098021528
"35",679.569776105283,677.376239727123,312.314774048944,265.779169199284,267.456498992884,331.758753347364
"36",679.569776105283,590.242920350181,478.80708319474,681.157717762422,673.112718291094,484.807025417116
"37",679.569776105283,672.526114245712,404.622529728891,382.55042007098,378.381923911914,519.889305196316
"38",679.569776105283,670.732575584905,459.399799579181,345.371629665906,320.469033259444,455.074312817255
"39",679.569776105283,680.358033491753,541.161351742263,487.759201948756,471.67692689191,527.424656051431
"40",679.569776105283,680.262948603623,679.650872113074,668.552072552774,672.067359063845,679.927949959008
"41",679.569776105283,674.414515370885,216.067620869112,122.48946746418,117.184788353062,211.012740143357
"42",679.569776105283,624.304872183227,175.849094981533,133.218906403198,95.6529398659068,454.774827833298
"43",679.569776105283,680.906393228178,672.231466257634,681.568934484124,681.55680917052,678.557129549003
"44",679.569776105283,681.086782414683,592.09210737096,585.916219584816,590.618692712596,619.494097925733
"45",679.569776105283,681.569493823937,439.802551057959,449.773638678668,452.082225564655,497.754758252123
"46",679.569776105283,611.491747422819,557.460170709222,661.254957918099,680.696968412853,639.418386262116
"47",679.569776105283,680.449705357373,681.027324044059,681.270500838764,681.122509674802,680.999850246454
